"No.","Time","Source","Destination","Protocol","Length","Info"
"55","0.010396735","172.20.239.183","224.0.0.251","MDNS","293","Standard query response 0x0000 PTR, cache flush Android-46.local PTR, cache flush Android-46.local A, cache flush 172.20.239.183 AAAA, cache flush fe80::703e:dfff:fe32:29aa NSEC, cache flush 183.239.20.172.in-addr.arpa NSEC, cache flush A.A.9.2.2.3.E.F.F.F.F.D.E.3.0.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-46.local"
"56","0.010427904","172.20.213.164","224.0.0.251","MDNS","340","Standard query 0x0000 PTR _smb._tcp.local, ""QM"" question PTR Sashyaâ\200\231s MacBook Air._smb._tcp.local PTR Srishaanth's Macbook Air._smb._tcp.local PTR vishnuâ\200\231s MacBook Pro._smb._tcp.local PTR Zahinâ\200\231s MacBook Air._smb._tcp.local PTR Sohanâ\200\231s MacBook Air M2._smb._tcp.local PTR Adhithâ\200\231s MacBook Air._smb._tcp.local PTR Prashanthâ\200\231s MacBook Air._smb._tcp.local"
"57","0.010431506","fe80::4ca3:635a:4d39:c507","ff02::fb","MDNS","439","Standard query response 0x0000 PTR neehapraveen._dosvc._tcp.local SRV 0 0 7680 neehapraveen.local TXT A 172.20.197.167 AAAA fe80::4ca3:635a:4d39:c507"
"58","0.010431687","172.20.236.51","224.0.0.251","MDNS","278","Standard query response 0x0000 PTR _mi-connect._udp.local PTR, cache flush Android-336.local PTR, cache flush Android-336.local NSEC, cache flush 51.236.20.172.in-addr.arpa NSEC, cache flush 6.2.7.A.E.0.1.C.7.6.7.4.5.7.3.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa"
"59","0.010428076","fe80::8d8:fbbb:acf1:fa3d","ff02::fb","MDNS","360","Standard query 0x0000 PTR _smb._tcp.local, ""QM"" question PTR Sashyaâ\200\231s MacBook Air._smb._tcp.local PTR Srishaanth's Macbook Air._smb._tcp.local PTR vishnuâ\200\231s MacBook Pro._smb._tcp.local PTR Zahinâ\200\231s MacBook Air._smb._tcp.local PTR Sohanâ\200\231s MacBook Air M2._smb._tcp.local PTR Adhithâ\200\231s MacBook Air._smb._tcp.local PTR Prashanthâ\200\231s MacBook Air._smb._tcp.local"
"60","0.010428133","fe80::703e:dfff:fe32:29aa","ff02::fb","MDNS","313","Standard query response 0x0000 PTR, cache flush Android-46.local PTR, cache flush Android-46.local A, cache flush 172.20.239.183 AAAA, cache flush fe80::703e:dfff:fe32:29aa NSEC, cache flush 183.239.20.172.in-addr.arpa NSEC, cache flush A.A.9.2.2.3.E.F.F.F.F.D.E.3.0.7.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa NSEC, cache flush Android-46.local"
"61","0.010467076","SamsungE_8f:4d:15","Broadcast","ARP","60","Who has 172.20.192.1? Tell 172.20.234.147"
"62","0.010467151","92:1f:be:4b:d5:22","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.245.23"
"63","0.010467199","b2:35:be:96:66:47","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.232.17"
"64","0.010467238","3a:58:91:2d:08:91","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.192.236"
"65","0.010467277","86:1b:ac:f7:a7:e4","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.213.221"
"66","0.010467321","86:1b:ac:f7:a7:e4","Broadcast","ARP","56","Who has 172.20.240.50? Tell 172.20.213.221"
"67","0.010467362","86:1b:ac:f7:a7:e4","Broadcast","ARP","56","Who has 172.20.236.197? Tell 172.20.213.221"
"68","0.010467407","da:1b:90:80:8c:00","Broadcast","ARP","56","Who has 172.20.204.23? Tell 172.20.211.38"
"69","0.010493653","fe80::e6d3:c88d:1bbb:f905","ff02::fb","MDNS","367","Standard query response 0x0000 PTR Satya._dosvc._tcp.local SRV 0 0 7680 Satya.local TXT A 172.20.224.183 AAAA fe80::e6d3:c88d:1bbb:f905"
"70","0.010493093","fe80::5375:4767:c10e:a726","ff02::fb","MDNS","246","Standard query 0x0000 ANY {""nm"":""Xiaomi 11 Lite NE"",""as"":""[8193, 8194]"",""ip"":""0""}._mi-connect._udp.local, ""QM"" question ANY Android-336.local, ""QM"" question ANY Android-336.local, ""QM"" question SRV 0 0 56666 Android-336.local A 172.20.236.51 AAAA fe80::5375:4767:c10e:a726"
"71","0.010493254","fe80::5375:4767:c10e:a726","ff02::fb","MDNS","298","Standard query response 0x0000 PTR _mi-connect._udp.local PTR, cache flush Android-336.local PTR, cache flush Android-336.local NSEC, cache flush 51.236.20.172.in-addr.arpa NSEC, cache flush 6.2.7.A.E.0.1.C.7.6.7.4.5.7.3.5.0.0.0.0.0.0.0.0.0.0.0.0.0.8.E.F.ip6.arpa"
"72","0.010493757","172.20.197.167","224.0.0.251","MDNS","419","Standard query response 0x0000 PTR neehapraveen._dosvc._tcp.local SRV 0 0 7680 neehapraveen.local TXT A 172.20.197.167 AAAA fe80::4ca3:635a:4d39:c507"
"73","0.010518789","36:75:18:b2:4e:9d","Broadcast","ARP","56","Who has 172.20.242.230? Tell 172.20.236.85"
"74","0.010518825","da:78:2a:4e:60:ed","Broadcast","ARP","56","Who has 172.20.240.112? Tell 172.20.241.221"
"75","0.010518870","da:78:2a:4e:60:ed","Broadcast","ARP","56","Who has 172.20.240.50? Tell 172.20.241.221"
"76","0.010518901","52:5c:be:59:dd:39","Broadcast","ARP","56","Who has 172.20.240.50? Tell 172.20.198.188"
"77","0.010518935","52:5c:be:59:dd:39","Broadcast","ARP","56","Who has 172.20.236.197? Tell 172.20.198.188"
"78","0.010518965","36:75:18:b2:4e:9d","Broadcast","ARP","56","Who has 172.20.236.197? Tell 172.20.236.85"
"79","0.010518997","AzureWav_f5:82:e3","Broadcast","ARP","56","Who has 172.20.225.177? Tell 172.20.199.5"
"80","0.010519030","AzureWav_f5:82:e3","Broadcast","ARP","56","Who has 172.20.203.210? Tell 172.20.199.5"
"81","0.103389399","aa:74:56:eb:af:ca","Broadcast","ARP","56","ARP Announcement for 172.20.246.25"
"82","0.103390169","94:bb:43:b5:b8:46","Broadcast","ARP","56","Who has 172.20.210.9? Tell 172.20.246.132"
"83","0.103390242","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.193.182? Tell 172.20.192.1"
"84","0.103390313","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.240.88? Tell 172.20.192.1"
"85","0.103390383","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.195.115? Tell 172.20.192.1"
"86","0.103390459","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.193.171? Tell 172.20.192.1"
"87","0.103390529","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.226.156? Tell 172.20.192.1"
"88","0.103390602","Airspan_46:a3:ae","Broadcast","ARP","56","Who has 172.20.239.202? Tell 172.20.192.1"
"89","0.103441191","fe80::ad81:ad2c:593a:243a","ff02::fb","MDNS","405","Standard query response 0x0000 PTR Chaitanya._dosvc._tcp.local SRV 0 0 7680 Chaitanya.local TXT A 172.20.205.63 AAAA fe80::ad81:ad2c:593a:243a"
"90","0.103439185","fe80::2ad1:4983:5916:b020","ff02::fb","MDNS","367","Standard query response 0x0000 PTR Pugal._dosvc._tcp.local SRV 0 0 7680 Pugal.local TXT A 172.20.206.179 AAAA fe80::2ad1:4983:5916:b020"
